name,price,category_id
Las aventuras de peter pan,58,3
Cámara Canon,17,7
Reloj Casio G-Shock,19,9
Frigorífico Whirlpool,43,6
Cámara Canon,55,7
Licuadora Oster,56,8
Laptop Dell,84,5
Proyector Epson,72,1
Zapatos deportivos Nike,24,4
Aire acondicionado Mitsubishi,64,4
Taladro Bosch,76,4
Cámara Canon,5,10
Impresora HP,43,9
Cámara Canon,3,2
Despertador digital Philips,85,1
Lavadora Bosch,45,3
Barra de sonido Sony,3,7
TV LG,13,2
Licuadora Oster,90,6
Tablet Samsung Galaxy,40,7
Frigorífico Whirlpool,39,8
TV LG,7,10
"Monitor ASUS 27""",24,4
Lavadora Bosch,43,7
Libro de cocina italiana,30,7
Zapatos deportivos Nike,80,1
Cámara de seguridad Ring,88,9
"Monitor ASUS 27""",16,5
Despertador digital Philips,66,4
Smartwatch Apple,3,5
Cámara Canon,49,8
Impresora HP,21,9
Router Wi-Fi TP-Link,24,5
Consola Xbox Series X,47,6
Impresora HP,54,5
Tocadiscos clasico,80,5
Tensiometro,86,1
Cámara de seguridad Ring,34,8
Cortadora de césped Honda,54,3
Router Wi-Fi TP-Link,87,7
Altavoz inteligente Alexa,11,4
Microondas Samsung,80,6
Iphone 7,65,7
Libro de cocina italiana,24,5
Consola Xbox Series X,60,4
Barra de sonido Sony,61,2
Audífonos Bose,86,3
Router Wi-Fi TP-Link,49,7
"Monitor ASUS 27""",92,2
Patines en línea Rollerblade,78,7
